MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
636092985,2022-12-08T00:05:49,28.29614,-80.49765,10.2,320,322,SUMATRA,IMO9753260,D5YS8,70,0,180,32,7.9,70,A
636092962,2022-12-08T00:05:50,49.28807,-123.0818,0.1,354,181,RELIABLE,IMO9762900,D5IZ6,70,5,178,32,8.9,70,A
636092927,2022-12-08T00:01:09,28.8961,-89.34128,0,313,119,CONTI MAKALU,IMO9286243,D5UY6,79,1,333,42,11.3,79,A
636092927,2022-12-08T00:04:11,28.8961,-89.34128,0,336,119,CONTI MAKALU,IMO9286243,D5UY6,79,1,333,42,11.3,79,A
636092896,2022-12-08T00:00:04,34.11548,-76.02592,17.4,219.2,219,CCNI ANGOL,IMO9683867,D5GZ4,79,0,300,49,10.3,79,A
636092896,2022-12-08T00:01:10,34.11133,-76.02997,17.5,218.9,220,CCNI ANGOL,IMO9683867,D5GZ4,79,0,300,49,10.3,79,A
636092896,2022-12-08T00:02:15,34.10725,-76.03395,17.5,219.2,219,CCNI ANGOL,IMO9683867,D5GZ4,79,0,300,49,10.3,79,A
636092896,2022-12-08T00:03:21,34.1031,-76.03805,17.6,219.6,220,CCNI ANGOL,IMO9683867,D5GZ4,79,0,300,49,10.3,79,A
636092896,2022-12-08T00:05:40,34.09445,-76.04663,17.6,219.4,220,CCNI ANGOL,IMO9683867,D5GZ4,79,0,300,49,10.3,79,A
636092896,2022-12-08T00:04:34,34.09852,-76.04258,17.5,220,219,CCNI ANGOL,IMO9683867,D5GZ4,79,0,300,49,10.3,79,A
636092825,2022-12-08T00:00:04,25.43011,-79.65644,15.7,164.8,169,AS SAMANTA,IMO9410260,D5PZ3,71,0,175,28,7.7,71,A
636092825,2022-12-08T00:01:11,25.42551,-79.65511,15.7,165.8,169,AS SAMANTA,IMO9410260,D5PZ3,71,0,175,28,7.7,71,A
636092825,2022-12-08T00:02:16,25.42085,-79.65374,15.7,165.3,170,AS SAMANTA,IMO9410260,D5PZ3,71,0,175,28,7.7,71,A
636092825,2022-12-08T00:03:23,25.41611,-79.65236,15.7,165,169,AS SAMANTA,IMO9410260,D5PZ3,71,0,175,28,7.7,71,A
636092825,2022-12-08T00:04:29,25.41142,-79.65099,15.8,165.5,170,AS SAMANTA,IMO9410260,D5PZ3,71,0,175,28,7.7,71,A
636092825,2022-12-08T00:05:35,25.40677,-79.64964,15.8,164.6,169,AS SAMANTA,IMO9410260,D5PZ3,71,0,175,28,7.7,71,A
636092816,2022-12-08T00:01:36,30.65867,-88.03236,0,1,1,ROLAND OLDENDORFF,IMO9463633,D5KD7,79,5,260,43,13.4,79,A
636092816,2022-12-08T00:04:37,30.65867,-88.03236,0,1,1,ROLAND OLDENDORFF,IMO9463633,D5KD7,79,5,260,43,13.4,79,A
636092784,2022-12-08T00:02:37,40.67061,-74.14093,0,229.9,29,TUCAPEL,IMO9569970,A8VQ3,74,5,300,46,12.5,70,A
636092784,2022-12-08T00:05:37,40.6706,-74.14093,0,229.9,29,TUCAPEL,IMO9569970,A8VQ3,74,5,300,46,12.5,70,A
636092783,2022-12-08T00:00:00,37.31617,-75.04583,11.2,211,210,TUBUL,IMO9447873,A8VP8,71,0,300,46,10.1,79,A
636092783,2022-12-08T00:01:03,37.31322,-75.04782,11.2,211,210,TUBUL,IMO9447873,A8VP8,71,0,300,46,10.1,79,A
636092783,2022-12-08T00:02:10,37.31012,-75.04989,11.3,207,210,TUBUL,IMO9447873,A8VP8,71,0,300,46,10.1,79,A
636092783,2022-12-08T00:03:13,37.3073,-75.05178,11.1,204,209,TUBUL,IMO9447873,A8VP8,71,0,300,46,10.1,79,A
636092783,2022-12-08T00:04:16,37.3045,-75.05367,11.2,207,209,TUBUL,IMO9447873,A8VP8,71,0,300,46,10.1,79,A
636092749,2022-12-08T00:00:44,30.07134,-88.10829,0.1,51,141,ROBERT OLDENDORFF,IMO9463645,D5JW4,79,1,260,43,7.8,79,A
636092749,2022-12-08T00:03:43,30.07136,-88.10828,0,141,141,ROBERT OLDENDORFF,IMO9463645,D5JW4,79,1,260,43,7.8,79,A
636092749,2022-12-08T00:06:42,30.07137,-88.10826,0,142,142,ROBERT OLDENDORFF,IMO9463645,D5JW4,79,1,260,43,7.8,79,A
636092737,2022-12-08T00:00:53,29.83488,-89.99527,0.1,152.6,50,AMELIE,IMO9647289,D5MH2,70,1,180,30,10.1,70,A
636092737,2022-12-08T00:03:53,29.83486,-89.99528,0,138.9,49,AMELIE,IMO9647289,D5MH2,70,1,180,30,10.1,70,A
636092392,2022-12-08T00:00:24,30.66823,-88.03356,0,169.3,344,TAMINA,IMO9290945,D5BM8,70,0,275,40,14,9,A
636092392,2022-12-08T00:01:35,30.66823,-88.03359,0,169.3,344,TAMINA,IMO9290945,D5BM8,70,0,275,40,14,9,A
636092392,2022-12-08T00:02:45,30.66823,-88.03359,0,169.3,344,TAMINA,IMO9290945,D5BM8,70,0,275,40,14,9,A
636092392,2022-12-08T00:05:05,30.66823,-88.03356,0,169.3,344,TAMINA,IMO9290945,D5BM8,70,0,275,40,14,9,A
636092392,2022-12-08T00:03:56,30.66822,-88.03358,0,169.3,344,TAMINA,IMO9290945,D5BM8,70,0,275,40,14,9,A
636091832,2022-12-08T00:00:06,32.71327,-79.01975,11,73.5,73,NORTHERN PRIORITY,IMO9450313,A8TL3,70,0,264,32,13.5,71,A
636091832,2022-12-08T00:01:16,32.7143,-79.01566,11,73.5,73,NORTHERN PRIORITY,IMO9450313,A8TL3,70,0,264,32,13.5,71,A
636091832,2022-12-08T00:02:28,32.71532,-79.0115,11.1,74.4,74,NORTHERN PRIORITY,IMO9450313,A8TL3,70,0,264,32,13.5,71,A
636091832,2022-12-08T00:03:37,32.71633,-79.00738,11.1,74.1,73,NORTHERN PRIORITY,IMO9450313,A8TL3,70,0,264,32,13.5,71,A
636091832,2022-12-08T00:04:48,32.71731,-79.00324,11.1,74,73,NORTHERN PRIORITY,IMO9450313,A8TL3,70,0,264,32,13.5,71,A
636091832,2022-12-08T00:05:56,32.71832,-78.9992,11,73.5,73,NORTHERN PRIORITY,IMO9450313,A8TL3,70,0,264,32,13.5,71,A
636091782,2022-12-08T00:02:01,29.35111,-94.75841,0,92,92,GASCHEM ARCTIC,IMO9371672,A8SV7,80,1,128,17,8.6,89,A
636091782,2022-12-08T00:05:01,29.35105,-94.75839,0,91,91,GASCHEM ARCTIC,IMO9371672,A8SV7,80,1,128,17,8.6,89,A
636091686,2022-12-08T00:00:07,27.58745,-96.62923,13.7,116.5,116,SIGMA TRIUMPH,IMO9410650,A8RO5,80,0,244,42,15,80,A
636091686,2022-12-08T00:01:17,27.58552,-96.62476,13.7,115.5,116,SIGMA TRIUMPH,IMO9410650,A8RO5,80,0,244,42,15,80,A
636091686,2022-12-08T00:02:27,27.58361,-96.62019,13.7,114.8,115,SIGMA TRIUMPH,IMO9410650,A8RO5,80,0,244,42,15,80,A
636091686,2022-12-08T00:03:37,27.58172,-96.61558,13.7,114.7,116,SIGMA TRIUMPH,IMO9410650,A8RO5,80,0,244,42,15,80,A
636091686,2022-12-08T00:04:48,27.57985,-96.61099,13.7,114.2,116,SIGMA TRIUMPH,IMO9410650,A8RO5,80,0,244,42,15,80,A
636091480,2022-12-08T00:03:11,39.85067,-75.33908,0,244,244,HEBE,IMO9334375,A8OH7,70,5,220,32,12.2,79,A
636091480,2022-12-08T00:04:22,39.85065,-75.33905,0,244,244,HEBE,IMO9334375,A8OH7,70,5,220,32,12.2,79,A
636091203,2022-12-08T00:01:03,32.07915,-81.06597,0,256.7,256,LIBERTY,IMO9423542,A8KP8,70,5,189,32,12.8,70,A
636091203,2022-12-08T00:03:59,32.07915,-81.06598,0,256.7,256,LIBERTY,IMO9423542,A8KP8,70,5,189,32,12.8,70,A
636091186,2022-12-08T00:01:30,29.29578,-94.56925,0,238.8,73,HAMBURG STAR,IMO9298325,A8KJ3,80,1,228,32,14.4,80,A
636091186,2022-12-08T00:04:30,29.29582,-94.56933,0,238.8,75,HAMBURG STAR,IMO9298325,A8KJ3,80,1,228,32,14.4,80,A
636090886,2022-12-08T00:00:04,26.069,-79.97987,1.1,337.8,126,CHEMTRANS MOON,IMO9270488,A8HG6,80,0,228,32,14,80,A
636090886,2022-12-08T00:01:14,26.06936,-79.98001,1.2,340.5,127,CHEMTRANS MOON,IMO9270488,A8HG6,80,0,228,32,14,80,A
636090886,2022-12-08T00:02:24,26.06971,-79.98016,1.2,339.6,128,CHEMTRANS MOON,IMO9270488,A8HG6,80,0,228,32,14,80,A
636090886,2022-12-08T00:03:35,26.07009,-79.98028,1.2,340.7,129,CHEMTRANS MOON,IMO9270488,A8HG6,80,0,228,32,14,80,A
636090886,2022-12-08T00:04:43,26.07047,-79.98043,1.2,339.1,130,CHEMTRANS MOON,IMO9270488,A8HG6,80,0,228,32,14,80,A
636022135,2022-12-08T00:00:21,38.5414,-74.61064,0.2,46.8,143,MINERVA ROXANNE,IMO9276585,5LHI5,89,1,244,42,10.3,89,A
636022135,2022-12-08T00:03:21,38.54144,-74.61062,0.2,51.1,144,MINERVA ROXANNE,IMO9276585,5LHI5,89,1,244,42,10.3,89,A
636022134,2022-12-08T00:00:25,39.71954,-75.52467,0,173.8,113,RED SAKURA,IMO9781968,5LHI4,70,5,200,32,10,70,A
636022134,2022-12-08T00:03:25,39.71954,-75.52465,0,166,113,RED SAKURA,IMO9781968,5LHI4,70,5,200,32,10,70,A
636022134,2022-12-08T00:06:25,39.71956,-75.52468,0,240,113,RED SAKURA,IMO9781968,5LHI4,70,5,200,32,10,70,A
636021679,2022-12-08T00:04:51,28.64212,-94.71426,0,252,156,ALTEREGO,IMO9926697,5LFE3,80,1,330,60,11.1,80,A
636021578,2022-12-08T00:01:10,47.27352,-122.40791,0,176.3,133,YM TRANQUILITY,IMO9792682,5LEQ6,70,5,334,48,10.7,71,A
636021578,2022-12-08T00:04:10,47.27353,-122.40791,0,176.3,133,YM TRANQUILITY,IMO9792682,5LEQ6,70,5,334,48,10.7,71,A
636021509,2022-12-08T00:00:02,27.71467,-95.85467,11.1,157,158,JOHNNY RANGER,IMO9388209,5LEH2,80,0,182,32,8,80,A
636021509,2022-12-08T00:01:12,27.71117,-95.853,11.1,157,158,JOHNNY RANGER,IMO9388209,5LEH2,80,0,182,32,8,80,A
636021509,2022-12-08T00:02:13,27.70833,-95.85167,11.1,156,159,JOHNNY RANGER,IMO9388209,5LEH2,80,0,182,32,8,80,A
636021509,2022-12-08T00:03:22,27.705,-95.85,11.1,157,158,JOHNNY RANGER,IMO9388209,5LEH2,80,0,182,32,8,80,A
